104,1132
104,1332
104,1492
104,1692
104,1892
104,2052
104,2252
104,2452
104,2612
104,2812
240,3838
565,3838
770,3838
1340,3838
1500,3838
1705,3838
1910,3838
2070,3838
2275,3838
2465,3838
2640,3838
2845,3838
3040,3838
3210,3838
3435,3838
3595,3838
3780,3838
3955,3838
4165,3838
4315,3838
4555,3838
4760,3838
4920,3838
4920,107
4760,107
4555,107
4315,107
4165,107
3955,107
3780,107
3595,107
3210,107
3040,107
2640,107
2465,107
2070,107
1910,107
1705,107
1500,107
1340,107
1135,107
930,107
770,107
565,107
240,107
